開放漢世詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界語］
模仿	mo2 fang3	imiti
魔鬼	mo2 gui3	demono
模糊	mo2 hu2	malklara; malpreciza
陌生	mo2 sheng1	fremda
陌生人	mo2 sheng1 ren2	fremdulo
模式	mo2 shi4	ŝablono; modelo
魔術師	mo2 shu4 shi1	iluziisto
抹布	mo3 bu4	viŝtuko
貘	mo4	tapiro (mambesto)
茉	mo4	(pla-sci) jasmeno; jasmenfloro (latine, Jasminum sambac)
茉莉	mo4 li4	(pla-sci) jasmeno; jasmenfloro (latine, Jasminum sambac)
茉莉花	mo4 li4 hua1	(pla-sci) jasmeno; jasmenfloro (latine, Jasminum sambac)
默丘利	Mo4 qiu1 li4	Merkuro (romia mitologio)
墨水	mo4 shui3	inko
謀殺	mou2 sha1	murdi
母	mu3	ina (besto); -ino
牡丹	mu3 dan1	(pla-sci) peonio; peonifloro (latine, Paeonia suffruticosa)
牡丹花	mu3 dan1 hua1	(pla-sci) peonio; peonifloro (latine, Paeonia suffruticosa)
母雞	mu3 ji1	kokino
母馬	mu3 ma3	ĉevalino
母貓	mu3 mao1	katino
母牛	mu3 niu2	bovino
母女	mu3 nv3	patrino kaj filino; patrinofilina
母羊	mu3 yang2	ŝafino
母音	mu3 yin1	vokalo (lingvistiko)
母語	mu3 yu3	gepatra lingvo
母語	mu3 yu3	nacilingvo
母子	mu3 zi3	patrino kaj filiĉo; patrinofiliĉa; patrino kaj filo; patrinofila
鉬	mu4	(kem) molibdeno; la elemento molibdeno (Mo), atomnumero 42
目	mu4	(anat) okulo
苜	mu4	(pla-sci) trifolio; trifolifloro (latine, Trifolium)
木板	mu4 ban3	tabulo
目標	mu4 biao1	celo
木波羅	mu4 bo1 luo2	(pla-sci) panarbo; (latine, Artocarpus altilis)
木波羅樹	mu4 bo1 luo2 shu4	(pla-sci) panarbo; (latine, Artocarpus altilis)
木瓜樹	mu4 gua1 shu4	(pla-sci) papajarbo; (latine, Carica papaya)
目擊者	mu4 ji1 zhe3	atestanto
木槿	mu4 jin3	(pla-sci) hibisko; hibiskfloro (latine, Hibiscus syriacus)
木塊	mu4 kuai4	ŝtipo
牡蠣	mu4 li4	ostro
木乃伊	mu4 nai3 yi1	mumio
慕尼黑會議	mu4 ni2 hei1  hui4 yi4	Munkena Konferenco; (1938 KE)
慕尼黑協定	mu4 ni2 hei1  xie2 ding4	Munkena Interkonsento; (1938 KE)
木偶	mu4 ou3	marioneto
目前為止	mu4 qian2  wei2 zhi3	ĝis nun
木炭	mu4 tan4	lignokarbo
木頭	mu4 tou5	ligno
木星	mu4 xing1	(ast) Jupitero; "Lignostelo"
苜蓿	mu4 xu5	(pla-sci) trifolio; trifolifloro (latine, Trifolium)
苜蓿花	mu4 xu5 hua1	(pla-sci) trifolio; trifolifloro (latine, Trifolium)
沐浴	mu4 yu4	bano; bani sin
拿	na2	preni
鎿	na2	(kem) neptunio; la elemento neptunio (Np), atomnumero 93
拿著	na2 zhe5	teni
拿走	na2 zou3	forpreni
哪個	na3 ge4 ?	kio
哪裡	na3 li3 ?	kie
哪裡都	na3 li3 dou1	ie ajn
哪一種	na3 yi5 zhong3	kia speco
哪種	na3 zhong3	kia; kia speco; kiu speco de
哪種…都	na3 zhong3 dou1	ĉia speco
那	na4	tio; tiu
鈉	na4	(kem) natrio; la elemento natrio (Na), atomnumero 11
納粹德國	na4 cui4  de2 guo2	nazia Germanio
那個	na4 ge4	tio
那裏	na4 li3	tie
那麼	na4 me5	do
那麼好	na4 me5  hao3	tiom bona
那麼嚴重	na4 me5  yan2 zhong4	tiom grava
那是	na4 shi4	tio estas
那西塞斯	Na4 xi1 sai4 si1	Narciso (helena mitologio)
那些	na4 xie1	tiuj
那樣	na4 yang4	tia; tiamaniere
那種	na4 zhong3	tia; tiu speco de
奶	nai3	(anat) mamo
氖	nai3	(kem) neono; la elemento neono (Ne), atomnumero 10
奶油	nai3 you2	kremo; butero
耐心	nai4 xin1	pacienco
難	nan2	malfacila
南北朝	nan2 bei3 chao2	Norda kaj Suda Dinastioj; 420-581 KE
南昌	nan2 chang1	Nanĉango; ĉefurbo de la ĉina provinco Ĝjangŝjio
南方	nan2 fang1	sudo
南非語	nan2 fei1 yu3	la afrikansa; la afrikansa lingvo
難過	nan2 guo4	malgaja
男孩子	nan2 hai2 zi5	knabo
南京	nan2 jing1	Nankingo; ĉefurbo de la ĉina provinco Ĝjangsuo
南寧	nan2 ning2	Nanningo; ĉefurbo de la ĉina provinco Gŭangŝjio
男朋友	nan2 peng2 you5	karulo
男人	nan2 ren2	viro
南宋	nan2 song4	Suda Song-dinastio; 1127-1279 KE
難忘	nan2 wang4	neforgesebla
男性	nan2 xing4	virseksa; vira
難民	nan4 min2	rifuĝinto
孬	nao1	malbona
孬脾氣	nao1 pi2 qi4	malbona humoro
孬運	nao1 yun4	malbonŝanco
腦部	nao3 bu4	(anat) cerbo
腦垂腺	nao3 chui2 xian4	(anat) hipofizo; pituitaria glando
腦乾	nao3 gan4	(anat) cerba trunko
腦子	nao3 zi5	(anat) cerbo
內分泌系統	nei4 fen1 mi4  xi4 tong3	endokrina sistemo
內褲	nei4 ku4	kalsono
內蒙古	nei4 meng3 gu3	Interna Mongolio; provinco de Ĉinio
內容	nei4 rong2	enhavo; entenaĵo
能	neng2	povi
會不會	neng2 bu5 neng2	ĉu estos; ĉu -os
你會不會	neng2 bu5 neng2	ĉu vi scipovas
能不能	neng2 bu5 neng2	ĉu mi povas
會不會	neng2 bu5 neng2	ĉu scipovas
能不能	neng2 bu5 neng2	ĉu povas; ĉu eblas
能力	neng2 li4	kapablo; kapableco
能量	neng2 liang4	energio
鈮	ni2	(kem) niobo; la elemento niobo (Nb), atomnumero 41
泥巴	ni2 ba5	koto
尼泊爾語	ni2 bo2 er3 yu3	la nepala; la nepala lingvo
你	ni3	vi
你	ni3	vin
你會不會下棋	ni3  hui4 bu5 hui5  xia4 qi2	ĉu vi scipovas ŝakludi?
你說得對	ni3  shuo1 de5 dui4	vi pravas
你自己的	ni3  zi4 ji3 de5	via propra
你的…	ni3 de5	via
你的	ni3 de5	la via
你好	ni3 hao3	saluton
你們	ni3 men5	vi (plura vorto)
你們	ni3 men5	vin (plura vorto)
你們自己的	ni3 men5  zi4 ji3 de5	via propra (plura vorto)
你們的	ni3 men5 de5	la via (plura vorto)
你們的…	ni3 men5 de5	via (plura vorto)
你們自己的	ni3 men5 zi4 ji3	via propra
你們自己	ni3 men5 zi4 ji3	vi mem
擬似	ni3 si4	kvazaŭ
你自己	ni3 zi4 ji3	vi mem
溺水	ni4 shui3	droni
年	nian2	jaro
年鑒	nian2 jian4	jarlibro
年刊	nian2 kan1	jarlibro
年齡	nian2 ling2	aĝo
年輕	nian2 qing1	juna
黏土	nian2 tu3	argilo
黏液	nian2 ye4	(anat) muko
廿	nian4	dudek (20)
廿八	nian4 ba1	dudek ok (28)
廿二	nian4 er4	dudek du (22)
廿九	nian4 jiu3	dudek naŭ (29)
廿六	nian4 liu4	dudek ses (26)
廿七	nian4 qi1	dudek sep (27)
廿三	nian4 san1	dudek tri (23)
念書	nian4 shu1	studi
廿四	nian4 si4	dudek kvar (24)
念頭	nian4 tou5	penso
廿五	nian4 wu3	dudek kvin (25)
廿一	nian4 yi1	dudek unu (21)
鳥	niao3	birdo
鎳	nie4	(kem) nikelo; la elemento nikelo (Ni), atomnumero 28
齧齒類	nie4 chi3 lei4	ronĝulo
涅普頓	Nie4 pu3 dun4	Neptuno (romia mitologio)
顳葉	nie4 ye4	(anat) temporala lobo
寧	ning2	Ningŝjao; mallongiga formo de Ningŝjao
檸檬樹	ning2 meng2 shu4	(pla-sci) citronarbo; (latine, Citrus limon)
寧夏	ning2 xia4	Ningŝjao; provinco de Ĉinio
牛	niu2	bovo (mambesto)
牛蒡	niu2 bang4	(pla-sci) lapo; (latine, Arctium)
牛蒡子	niu2 bang4 zi5	(pla-sci) lapo; (latine, Arctium)
牛肉	niu2 rou4	bovaĵo
鈕	niu3	butono
紐	niu3	butono
紐扣	niu3 kou4	butono
紐倫堡審判	niu3 lun2 bao3  shen3 pan4	Nurenberga proceso; (1945-1946)
膿	nong2	(anat) puso
農場	nong2 chang3	farmo; bieno
農地	nong2 di4	kulturkampo
農民	nong2 min2	kamparano
農人	nong2 ren2	kampulo; farmisto
濃縮	nong2 suo1	densigi
農業	nong2 ye4	terkulturo; agrikulturo
農業社會	nong2 ye4  she4 hui4	agrikultura socio
農園	nong2 yuan2	kulturejo; plantejo
奴	nu2	sklavo
奴隸	nu2 li4	sklavo
虐待狂	nue4 dai4 kuang2	sadisto
挪威語	nuo2 wei1 yu3	la norvega; la norvega lingvo
鍩	nuo4	(kem) nobelio; la elemento nobelio (No), atomnumero 102
諾貝爾文學獎	nuo4 bei4 er3  wen2 xue2 jiang3	la Nobelpremio por literaturo
諾貝爾獎	nuo4 bei4 er3 jiang3	la Nobelpremio
釹	nv3	(kem) neodimo; la elemento neodimo (Nd), atomnumero 60
女孩子	nv3 hai2 zi5	knabino
女朋友	nv3 peng2 you5	karulino
女人	nv3 ren2	ino; virino
女王	nv3 wang2	reĝino
女性	nv3 xing4	inseksa; ina
歐盟	ou1 meng2	(m-l) Eŭropa Unio; (EU)
歐元	ou1 yuan2	eŭro
歐洲花楸	ou1 zhou1  hua1 qiu1	(pla-sci) sorparbo; (latine, Sorbus aucuparia)
歐洲花楸樹	ou1 zhou1  hua1 qiu1 shu4	(pla-sci) sorparbo; (latine, Sorbus aucuparia)
歐洲聯盟	ou1 zhou1  lian2 meng2	Eŭropa Unio; (EU)
歐洲綠黨	ou1 zhou1  lv4 dang3	La Verdaj; (Eŭropa partio)
歐洲民主黨	ou1 zhou1  min2 zhu3 dang3	Eŭropaj Demokratoj; (partio)
歐洲人民黨	ou1 zhou1  ren2 min2 dang3	Eŭropa Popolpartio
歐洲社會黨	ou1 zhou1  she4 hui4 dang3	Partio de Eŭropaj Socialdemokratoj
歐洲議會	ou1 zhou1  yi4 hui4	Eŭropa Parlamento
歐洲自由民主與改革黨	ou1 zhou1  zi4 you2  min2 zhu3  yu3  gai3 ge2  dang3	Eŭropa Liberala Demokrata Partio
歐洲自由陣線聯盟	ou1 zhou1  zi4 you2  zhen4 xian4  lian2 meng2	Libera Eŭropa Alianco
歐洲艾	ou1 zhou1 ai4	(pla-sci) absinto; (latine, Artemisia absinthium)
偶然	ou3 ran2	hazarda
嘔吐	ou3 tu4	vomi
偶像	ou3 xiang4	idolo
爬蟲類	pa2 chong2 lei4	reptilio
拍手	pai1 shou3	aplaŭdi
拍照	pai1 zhao4	foti; fotografi
排隊	pai2 dui4	enviciĝi
派對	pai4 dui4	festo; partio
潘多拉	Pan1 duo1 la1	Pandora (helena mitologio)
旁	pang2	apud
螃	pang2	krabo
膀	pang2	(anat) urinveziko
旁邊	pang2 bian1	apud
膀胱	pang2 guang1	(anat) urinveziko
螃蟹	pang2 xie4	krabo
胖	pang4	grasa
炮	pao4	pafilego (ĉina ŝako)
泡沫	pao4 mo4	ŝaŭmo
胚胎	pei1 tai1	(anat) embrio
胚胎乾細胞	pei1 tai1  gan4 xi4 bao1	embria trunka ĉelo
胚胎組織	pei1 tai1  zu3 zhi1	(anat) embria histo
錇	pei2	(kem) berkelio; la elemento berkelio (Bk), atomnumero 97
陪審團	pei2 shen3 tuan2	ĵurio
陪審員	pei2 shen3 yuan2	ĵuristo
佩服	pei4 fu2	admiri
噴墨印表機	pen1 mo4  da3 yin4 ji1	inkŝpruca presilo
噴嚏	pen1 ti4	terno
朋	peng2	amiko
硼	peng2	(kem) boro; la elemento boro (B), atomnumero 5
朋友	peng2 you5	amiko
膨脹	peng2 zhang4	etendi
砒	pi1	(kem) arseno; la elemento arseno (As), atomnumero 33
批評	pi1 ping2	kritiki
披薩	pi1 sa4	pico
披薩餅	pi1 sa4 bing3	pico
披薩店	pi1 sa4 dian4	picejo
皮	pi2	(anat) haŭto
脾	pi2	(anat) lieno
皮	pi2	ŝelo
鈹	pi2	(kem) berilio; la elemento berilio (Be), atomnumero 4
皮	pi2	ledo
皮帶	pi2 dai4	zono
皮膚	pi2 fu1	(anat) haŭto
皮革	pi2 ge2	ledo
皮夾	pi2 jia1	monbiletujo
啤酒	pi2 jiu3	biero
脾氣	pi2 qi4	humoro; temperamento
皮下	pi2 xia4	subhaŭta
皮下組織	pi2 xia4  zu3 zhi1	(anat) subhaŭta histo
脾臟	pi2 zang4	(anat) lieno
匹薩	pi3 sa4	pico
匹薩餅	pi3 sa4 bing3	pico
匹薩店	pi3 sa4 dian4	picejo
屁	pi4	furzo
屁股	pi4 gu3	(anat) gluteo; sidvango; pugo
譬如	pi4 ru2	ekzemple
偏見	pian1 jian4	partieco
便宜	pian2 yi5	malmultekosta
騙	pian4	mensogi al
片	pian4	filmo
片	pian4	karto
騙人	pian4 ren2	mensogi
片語	pian4 yu3	frazero; frazo (gramatiko)
片子	pian4 zi5	filmo
騙子	pian4 zi5	mensogulo; mensogisto
瓢蟲	piao2 chong2	kokcinelo (insekto)
漂亮	piao4 liang5	beleta
拼字	pin1 zi4	literumi
頻道	pin2 dao4	kanalo
貧窮	pin2 qiong2	malriĉa
品質	pin3 zhi4	kvalito
聘請	pin4 qing3	dungi
蘋	ping2	(pla-sci) pomarbo; (latine, Malus domestica)
萍	ping2	(pla-sci) lemno; (latine, Lemna minor)
平常	ping2 chang2	ordinara; kutima
平等	ping2 deng3	egala
蘋果樹	ping2 guo3 shu4	(pla-sci) pomarbo; (latine, Malus domestica)
平衡	ping2 heng2	ekvilibro
平均	ping2 jun1	meznombra; averaĝa
屏幕	ping2 mu4	ekrano
平坦	ping2 tan3	ebena
平行	ping2 xing2	paralela
平原	ping2 yuan2	ebenaĵo
瓶子	ping2 zi5	botelo
釙	po1	(kem) polonio; la elemento polonio (Po), atomnumero 84
鉕	po3	(kem) prometio; la elemento prometio (Pm), atomnumero 61
珀耳修斯	Po4 er3 xiu1 si1	Perseo (helena mitologio)
迫害	po4 hai4	persekuti; persekuto
破壞	po4 huai4	rompi; ruinigi
珀修斯	Po4 xiu1 si1	Perseo (helena mitologio)
脯	pu2	(anat) brusto
鏷	pu2	(kem) protaktinio; la elemento protaktinio (Pa), atomnumero 91
蒲公英	pu2 gong1 ying1	(pla-sci) leontodo; leontodfloro (latine, Taraxacum officinale)
蒲公英花	pu2 gong1 ying1 hua1	(pla-sci) leontodo; leontodfloro (latine, Taraxacum officinale)
葡萄酒	pu2 tao2 jiu3	vino
葡萄樹	pu2 tao2 shu4	(pla-sci) vinberarbo; (latine, Vitis vinifera)
葡萄糖	pu2 tao2 tang2	glukozo
葡萄藤	pu2 tao2 teng2	(pla-sci) vinberarbo; (latine, Vitis vinifera)
葡萄牙文	pu2 tao2 ya2 wen2	la portugala; la portugala lingvo
葡萄牙語	pu2 tao2 ya2 yu3	la portugala; la portugala lingvo
葡萄柚樹	pu2 tao2 you4 shu4	(pla-sci) grapfruktarbo; (latine, Citrus paradisi)
鐠	pu3	(kem) prazeodimo; la elemento prazeodimo (Pr), atomnumero 59
普魯托	Pu3 lu3 tuo1	Plutono (romia mitologio)
普羅米修斯	Pu3 luo2 mi3 xiu1 si1	Prometeo (helena mitologio)
普通	pu3 tong1	ordinara; norma
普通話	pu3 tong1 hua4	mandarena; normĉina; "la komuna parolo"
瀑布	pu4 bu4	akvofalo
榿	qi1	(pla-sci) alno; alnarbo (latine, Alnus)
七	qi1	sep (7)
欺	qi1	turmenti
七百	qi1 bai3	sepcent (700)
七百萬	qi1 bai3 wan4	sep miliono (7 000 000)
七倍	qi1 bei4	sepoble
七次	qi1 ci4	sepfoje
七點鐘	qi1 dian3	la sepa horo
七點	qi1 dian3	la sepa horo
七分之一	qi1 fen1 zhi1 yi1	sepono
欺負	qi1 fu4	turmenti
期間	qi1 jian1	dum
榿木	qi1 mu4	(pla-sci) alno; alnarbo (latine, Alnus)
榿木樹	qi1 mu4 shu4	(pla-sci) alno; alnarbo (latine, Alnus)
欺騙	qi1 pian4	trompi
七千	qi1 qian1	sep mil (7 000)
七千萬	qi1 qian1 wan4	sepdek miliono (70 000 000)
七十	qi1 shi2	sepdek (70)
七十八	qi1 shi2 ba1	sepdek ok (78)
七十二	qi1 shi2 er4	sepdek du (72)
七十九	qi1 shi2 jiu3	sepdek naŭ (79)
七十六	qi1 shi2 liu4	sepdek ses (76)
七十七	qi1 shi2 qi1	sepdek sep (77)
七十三	qi1 shi2 san1	sepdek tri (77)
七十四	qi1 shi2 si4	sepdek kvar (74)
七十萬	qi1 shi2 wan4	sepcent mil (700 000)
七十五	qi1 shi2 wu3	sepdek kvin (75)
七十一	qi1 shi2 yi1	sepdek unu (71)
七十億	qi1 shi2 yi4	sep miliardo (7 000 000 000)
漆樹	qi1 shu4	(pla-sci) sumako; sumakarbo (latine, Rhus)
七萬	qi1 wan4	sepdek mil (70 000)
七葉樹	qi1 ye4 shu4	(pla-sci) hipokaŝtano; hipokaŝtanarbo (latine, Aesculus)
七億	qi1 yi4	sepcent miliono (700 000 000)
七月	qi1 yue4	julio
七月八號	qi1 yue4  ba1  hao4	la oka de julio
七月八日	qi1 yue4  ba1  ri4	la oka de julio
七月二號	qi1 yue4  er4  hao4	la dua de julio
七月二日	qi1 yue4  er4  ri4	la dua de julio
七月二十號	qi1 yue4  er4 shi2  hao4	la dudeka de julio
七月二十日	qi1 yue4  er4 shi2  ri4	la dudeka de julio
七月二十八號	qi1 yue4  er4 shi2 ba1  hao4	la dudek oka de julio
七月二十八日	qi1 yue4  er4 shi2 ba1  ri4	la dudek oka de julio
七月二十二號	qi1 yue4  er4 shi2 er4  hao4	la dudek dua de julio
七月二十二日	qi1 yue4  er4 shi2 er4  ri4	la dudek dua de julio
七月二十九號	qi1 yue4  er4 shi2 jiu3  hao4	la dudek naŭa de julio
七月二十九日	qi1 yue4  er4 shi2 jiu3  ri4	la dudek naŭa de julio
七月二十六號	qi1 yue4  er4 shi2 liu4  hao4	la dudek sesa de julio
七月二十六日	qi1 yue4  er4 shi2 liu4  ri4	la dudek sesa de julio
七月二十七號	qi1 yue4  er4 shi2 qi1  hao4	la dudek sepa de julio
七月二十七日	qi1 yue4  er4 shi2 qi1  ri4	la dudek sepa de julio
七月二十三號	qi1 yue4  er4 shi2 san1  hao4	la dudek tria de julio
七月二十三日	qi1 yue4  er4 shi2 san1  ri4	la dudek tria de julio
七月二十四號	qi1 yue4  er4 shi2 si4  hao4	la dudek kvara de julio
七月二十四日	qi1 yue4  er4 shi2 si4  ri4	la dudek kvara de julio
七月二十五號	qi1 yue4  er4 shi2 wu3  hao4	la dudek kvina de julio
七月二十五日	qi1 yue4  er4 shi2 wu3  ri4	la dudek kvina de julio
七月二十一號	qi1 yue4  er4 shi2 yi1  hao4	la dudek unua de julio
七月二十一日	qi1 yue4  er4 shi2 yi1  ri4	la dudek unua de julio
七月九號	qi1 yue4  jiu3  hao4	la naŭa de julio
七月九日	qi1 yue4  jiu3  ri4	la naŭa de julio
七月六號	qi1 yue4  liu4  hao4	la sesa de julio
七月六日	qi1 yue4  liu4  ri4	la sesa de julio
七月七號	qi1 yue4  qi1  hao4	la sepa de julio
七月七日	qi1 yue4  qi1  ri4	la sepa de julio
七月三號	qi1 yue4  san1  hao4	la tria de julio
七月三日	qi1 yue4  san1  ri4	la tria de julio
七月三十號	qi1 yue4  san1 shi2  hao4	la trideka de julio
七月三十日	qi1 yue4  san1 shi2  ri4	la trideka de julio
七月三十一號	qi1 yue4  san1 shi2 yi1  hao4	la tridek unua de julio
七月三十一日	qi1 yue4  san1 shi2 yi1  ri4	la tridek unua de julio
七月十號	qi1 yue4  shi2  hao4	la deka de julio
七月十日	qi1 yue4  shi2  ri4	la deka de julio
七月十八號	qi1 yue4  shi2 ba1  hao4	la dek oka de julio
七月十八日	qi1 yue4  shi2 ba1  ri4	la dek oka de julio
七月十二號	qi1 yue4  shi2 er4  hao4	la dek dua de julio
七月十二日	qi1 yue4  shi2 er4  ri4	la dek dua de julio
七月十九號	qi1 yue4  shi2 jiu3  hao4	la dek naŭa de julio
七月十九日	qi1 yue4  shi2 jiu3  ri4	la dek naŭa de julio
七月十六號	qi1 yue4  shi2 liu4  hao4	la dek sesa de julio
七月十六日	qi1 yue4  shi2 liu4  ri4	la dek sesa de julio
七月十七號	qi1 yue4  shi2 qi1  hao4	la dek sepa de julio
七月十七日	qi1 yue4  shi2 qi1  ri4	la dek sepa de julio
七月十三號	qi1 yue4  shi2 san1  hao4	la dek tria de julio
七月十三日	qi1 yue4  shi2 san1  ri4	la dek tria de julio
七月十四號	qi1 yue4  shi2 si4  hao4	la dek kvara de julio
七月十四日	qi1 yue4  shi2 si4  ri4	la dek kvara de julio
七月十五號	qi1 yue4  shi2 wu3  hao4	la dek kvina de julio
七月十五日	qi1 yue4  shi2 wu3  ri4	la dek kvina de julio
七月十一號	qi1 yue4  shi2 yi1  hao4	la dek unua de julio
七月十一日	qi1 yue4  shi2 yi1  ri4	la dek unua de julio
七月四號	qi1 yue4  si4  hao4	la kvara de julio
七月四日	qi1 yue4  si4  ri4	la kvara de julio
七月五號	qi1 yue4  wu3  hao4	la kvina de julio
七月五日	qi1 yue4  wu3  ri4	la kvina de julio
七月一號	qi1 yue4  yi1  hao4	la unua de julio
七月一日	qi1 yue4  yi1  ri4	la unua de julio
奇	qi2	stranga
臍	qi2	(anat) umbiliko
棋	qi2	ŝakpeco
棋	qi2	ŝako; ŝakludo
臍帶	qi2 dai4	(anat) umbilika ŝnuro
期待	qi2 dai4	antaŭvidi
祈禱	qi2 dao3	preĝo
奇怪	qi2 guai4	stranga
奇跡	qi2 ji1	miraklo
騎馬	qi2 ma3	rajdi sur ĉevalo
棋盤	qi2 pan2	ŝaktabulo
棋盤游戲	qi2 pan2  you2 xi4	tabulludo
其實	qi2 shi2	efektive; fakte
祈使	qi2 shi3	imperativo (gramatiko)
祈使語氣	qi2 shi3  yu3 qi4	imperativa modo (gramatiko)
旗魚	qi2 yu2	spadfiŝo; ksifio (fiŝo)
棋子	qi2 zi5	ŝakpeco
起床	qi3 chuang2	ellitiĝi
企鵝	qi3 e2	pingveno (birdo)
乞丐	qi3 gai4	almozulo; almozpetulo
起來	qi3 lai2	leviĝi
啟蒙時代	qi3 meng2  shi2 dai4	la epoko de Klerismo; Jarcento de la Lumoj; (1688-1789 KE)
企業家	qi3 ye4 jia1	entreprenisto
起作用	qi3 zuo4 yong4	funkcii
氣	qi4	kolero
汽車	qi4 che1	aŭto
器官	qi4 guan1	(anat) organo
氣管	qi4 guan3	(anat) traĥeo
氣候	qi4 hou4	klimato
氣化	qi4 hua4	(fiz) gasigi
氣泡	qi4 pao4	bobelo
氣死	qi4 si3	koleregigi
氣體	qi4 ti3	(fiz) gaso
氣壓	qi4 ya1	(fiz) atmosfera premo
簽	qian1	subskribi
千	qian1	mil (1 000)
鉛	qian1	(kem) plumbo; la elemento plumbo (Pb), atomnumero 82
簽和約	qian1  he2 yue1	subskribi packontrakton
千倍	qian1 bei4	miloble
千分之一	qian1 fen1 zhi1 yi1	milono
簽名	qian1 ming2	subskribi
牽牛花	qian1 niu2 hua1	(pla-sci) ipomeo; ipomefloro (latine, Ipomoea nil)
千萬	qian1 wan4	dek miliono (10 000 000)
謙虛	qian1 xu1	modesta
千億	qian1 yi4	cent miliardo (100 000 000 000)
蕁	qian2	(pla-sci) urtiko; (latine, Urtica dioica)
前	qian2	antaŭ
黔	qian2	Gujĝoŭo; mallongiga formo de Gujĝoŭo
錢包	qian2 bao1	monujo
前臂	qian2 bi4	(anat) antaŭbrako
錢幣	qian2 bi4	krajono
前臼齒	qian2 jiu4 chi3	antaŭmolaro; premolaro (dento)
前列腺	qian2 lie4 xian4	(anat) prostato
蕁麻	qian2 ma2	(pla-sci) urtiko; (latine, Urtica dioica)
前面	qian2 mian4	antaŭe
前言	qian2 yan2	antaŭparolo
潛在	qian2 zai4	potencebla; poviga; potenciala
前置詞	qian2 zhi4 ci2	prepozicio (gramatiko)
首碼	qian2 zhui4	prefikso (gramatiko)
淺	qian3	malprofunda
欠缺	qian4 que1	ŝuldi; manki
腔	qiang1	korpa kavo; kavo
腔	qiang1	akĉento
腔	qiang1	parolo
腔	qiang1	kantstilo
強	qiang2	forta
薔	qiang2	(pla-sci) rozo; rozfloro (latine, Rosa multiflora)
強調	qiang2 diao4	substreki; emfazi
強烈	qiang2 lie4	forte
薔薇	qiang2 wei1	(pla-sci) rozo; rozfloro (latine, Rosa multiflora)
薔薇花	qiang2 wei1 hua1	(pla-sci) rozo; rozfloro (latine, Rosa multiflora)
薔薇木	qiang2 wei1 mu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
薔薇樹	qiang2 wei1 shu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
牆壁	qiangbi	muro
敲門	qiao1 men2	frapi sur la pordon
喬	qiao2	alta
且	qie3	kaj
親	qin1	parenca
親	qin1	kisi
親	qin1	intima
親戚	qin1 qi1	parenco; parencaro
親切	qin1 qie4	afabla; kompleza; komplezema
親親	qin1 qin1	kisi
親屬	qin1 shu3	parenco
親眼	qin1 yan3	propraokule
親眼看到	qin1 yan3  kan4 dao4	propraokule vidi
親嘴	qin1 zui3	kisi
秦	qin2	la Ĉin-dinastio; Dinastio Ĉin
秦朝	qin2 chao2	Ĉin-dinastio; Dinastio Ĉin; 221 a.KE-206 a.KE
秦始皇	Qin2 shi3 huang2	La Unua Imperiestro de la Dinastio Qin
蜻	qing1	libelo (insekto)
輕	qing1	malpeza
氫	qing1	(kem) hidrogeno; la elemento hidrogeno (H), atomnumero 1
清	qing1	la Ĉing-dinastio; Dinastio Ĉing
青	qing1	Ĉinghajo; mallongiga formo de Ĉinghajo
清	qing1	klara
青草	qing1 cao3	(pla-sci) herbo
清朝	qing1 chao2	Ĉing-dinastio; Dinastio Ĉing; 1644-1911 KE
清楚	qing1 chu3	klara
輕工業	qing1 gong1 ye4	malpeza industrio
青海	qing1 hai3	Ĉinghajo; provinco de Ĉinio
清潔	qing1 jie2	purigi
青年	qing1 nian2	junulo
輕水	qing1 shui3	(fiz) malpeza akvo
輕鬆	qing1 song1	malstreĉita; malstreĉiĝa
青苔	qing1 tai2	(pla-sci) muskoj
蜻蜓	qing1 ting2	libelo (insekto)
青銅	qing1 tong2	bronzo
青蛙	qing1 wa1	rano (amfibio)
清醒	qing1 xing3	maldorma
清醒	qing1 xing3	vekiĝi
清醒	qing1 xing3	malebria
清醒過來	qing1 xing3  guo4 lai2	vekiĝi
輕易	qing1 yi4	facile
清真教	qing1 zhen1 jiao4	islamo
清真教徒	qing1 zhen1 jiao4 tu2	islamano
清真寺	qing1 zhen1 si4	moskeo
情況	qing2 kuang4	cirkonstanco; situacio
晴朗	qing2 lang3	suna; sunbrila
情人	qing2 ren2	amanto
請	qing3	bonvolu
請便	qing3 bian4	servu vin
慶	qing4	festi
慶祝	qing4 zhu4	festi
瓊	qiong2	Hajnano; mallongiga formo de Hajnano
蚯	qiu1	vermo
秋	qiu1	aŭtuno
秋分	qiu1 fen1	la aŭtuna ekvinokso
秋海棠	qiu1 hai3 tang2	(pla-sci) begonio; begonifloro (latine, Begonia)
秋海棠花	qiu1 hai3 tang2 hua1	(pla-sci) begonio; begonifloro (latine, Begonia)
秋麒麟草	qiu1 qi2 lin2 cao3	(pla-sci) solidago; orvergo; (latine, Solidago)
秋天	qiu1 tian1	aŭtuno
蚯蚓	qiu1 yin3	vermo
犰	qiu2	dazipo; dazipedo (mambesto)
犰狳	qiu2 yu2	dazipo; dazipedo (mambesto)
酋長	qiu2 zhang3	ŝejko
