開放世漢詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［世界語］	［中文］
la dek kvina de novembro	十一月十五號，十一月十五日
la dek kvina de oktobro	十月十五日，十月十五號
la dek kvina de septembro	九月十五號，九月十五日
la dek naŭa de aprilo	四月十九日，四月十九號
la dek naŭa de aŭgusto	八月十九日，八月十九號
la dek naŭa de decembro	十二月十九號，十二月十九日
la dek naŭa de februaro	二月十九日，二月十九號
la dek naŭa de januaro	一月十九日，一月十九號
la dek naŭa de julio	七月十九號，七月十九日
la dek naŭa de junio	六月十九號，六月十九日
la dek naŭa de majo	五月十九日，五月十九號
la dek naŭa de marto	三月十九號，三月十九日
la dek naŭa de novembro	十一月十九日，十一月十九號
la dek naŭa de oktobro	十月十九號，十月十九日
la dek naŭa de septembro	九月十九日，九月十九號
la dek oka de aprilo	四月十八日，四月十八號
la dek oka de aŭgusto	八月十八日，八月十八號
la dek oka de decembro	十二月十八號，十二月十八日
la dek oka de februaro	二月十八號，二月十八日
la dek oka de januaro	一月十八號，一月十八日
la dek oka de julio	七月十八日，七月十八號
la dek oka de junio	六月十八日，六月十八號
la dek oka de majo	五月十八號，五月十八日
la dek oka de marto	三月十八號，三月十八日
la dek oka de novembro	十一月十八號，十一月十八日
la dek oka de oktobro	十月十八日，十月十八號
la dek oka de septembro	九月十八號，九月十八日
la dek sepa de aprilo	四月十七號，四月十七日
la dek sepa de aŭgusto	八月十七日，八月十七號
la dek sepa de decembro	十二月十七號，十二月十七日
la dek sepa de februaro	二月十七號，二月十七日
la dek sepa de januaro	一月十七日，一月十七號
la dek sepa de julio	七月十七日，七月十七號
la dek sepa de junio	六月十七日，六月十七號
la dek sepa de majo	五月十七日，五月十七號
la dek sepa de marto	三月十七日，三月十七號
la dek sepa de novembro	十一月十七日，十一月十七號
la dek sepa de oktobro	十月十七日，十月十七號
la dek sepa de septembro	九月十七號，九月十七日
la dek sesa de aprilo	四月十六號，四月十六日
la dek sesa de aŭgusto	八月十六號，八月十六日
la dek sesa de decembro	十二月十六日，十二月十六號
la dek sesa de februaro	二月十六號，二月十六日
la dek sesa de januaro	一月十六號，一月十六日
la dek sesa de julio	七月十六日，七月十六號
la dek sesa de junio	六月十六日，六月十六號
la dek sesa de majo	五月十六號，五月十六日
la dek sesa de marto	三月十六號，三月十六日
la dek sesa de novembro	十一月十六日，十一月十六號
la dek sesa de oktobro	十月十六號，十月十六日
la dek sesa de septembro	九月十六號，九月十六日
la dek tria de aprilo	四月十三號，四月十三日
la dek tria de aŭgusto	八月十三日，八月十三號
la dek tria de decembro	十二月十三號，十二月十三日
la dek tria de februaro	二月十三日，二月十三號
la dek tria de januaro	一月十三號，一月十三日
la dek tria de julio	七月十三日，七月十三號
la dek tria de junio	六月十三日，六月十三號
la dek tria de majo	五月十三日，五月十三號
la dek tria de marto	三月十三日，三月十三號
la dek tria de novembro	十一月十三號，十一月十三日
la dek tria de oktobro	十月十三號，十月十三日
la dek tria de septembro	九月十三號，九月十三日
la dek unua de aprilo	四月十一號，四月十一日
la dek unua de aŭgusto	八月十一號，八月十一日
la dek unua de decembro	十二月十一號，十二月十一日
la dek unua de februaro	二月十一號，二月十一日
la dek unua de januaro	一月十一日，一月十一號
la dek unua de julio	七月十一日，七月十一號
la dek unua de junio	六月十一號，六月十一日
la dek unua de majo	五月十一日，五月十一號
la dek unua de marto	三月十一日，三月十一號
la dek unua de novembro	十一月十一號，十一月十一日
la dek unua de oktobro	十月十一號，十月十一日
la dek unua de septembro	九月十一號，九月十一日
la dek-dua horo	十二點，十二點鐘
la dek-unua horo	十一點鐘，十一點
la deka de aprilo	四月十號，四月十日
la deka de aŭgusto	八月十日，八月十號
la deka de decembro	十二月十號，十二月十日
la deka de februaro	二月十號，二月十日
la deka de januaro	一月十日，一月十號
la deka de julio	七月十日，七月十號
la deka de junio	六月十號，六月十日
la deka de majo	五月十日，五月十號
la deka de marto	三月十號，三月十日
la deka de novembro	十一月十號，十一月十日
la deka de oktobro	十月十號，十月十日
la deka de septembro	九月十號，九月十日
la deka horo	十點鐘，十點
la destino	命
la dua de aprilo	四月二號，四月二日
la dua de aŭgusto	八月二日，八月二號
la dua de decembro	十二月二號，十二月二日
la dua de februaro	二月二號，二月二日
la dua de januaro	一月二日，一月二號
la dua de julio	七月二號，七月二日
la dua de junio	六月二日，六月二號
la dua de majo	五月二號，五月二日
la dua de marto	三月二日，三月二號
la dua de novembro	十一月二日，十一月二號
la dua de oktobro	十月二日，十月二號
la dua de septembro	九月二號，九月二日
la dua horo	兩點，兩點鐘
la dua mondmilito	第二次大戰，二戰，第二次世界大戰
la dudek dua de aprilo	四月二十二日，四月二十二號
la dudek dua de aŭgusto	八月二十二日，八月二十二號
la dudek dua de decembro	十二月二十二號，十二月二十二日
la dudek dua de februaro	二月二十二號，二月二十二日
la dudek dua de januaro	一月二十二號，一月二十二日
la dudek dua de julio	七月二十二日，七月二十二號
la dudek dua de junio	六月二十二號，六月二十二日
la dudek dua de majo	五月二十二日，五月二十二號
la dudek dua de marto	三月二十二日，三月二十二號
la dudek dua de novembro	十一月二十二號，十一月二十二日
la dudek dua de oktobro	十月二十二日，十月二十二號
la dudek dua de septembro	九月二十二日，九月二十二號
la dudek kvara de aprilo	四月二十四日，四月二十四號
la dudek kvara de aŭgusto	八月二十四日，八月二十四號
la dudek kvara de decembro	十二月二十四日，十二月二十四號
la dudek kvara de februaro	二月二十四號，二月二十四日
la dudek kvara de januaro	一月二十四日，一月二十四號
la dudek kvara de julio	七月二十四日，七月二十四號
la dudek kvara de junio	六月二十四號，六月二十四日
la dudek kvara de majo	五月二十四號，五月二十四日
la dudek kvara de marto	三月二十四日，三月二十四號
la dudek kvara de novembro	十一月二十四號，十一月二十四日
la dudek kvara de oktobro	十月二十四號，十月二十四日
la dudek kvara de septembro	九月二十四日，九月二十四號
la dudek kvina de aprilo	四月二十五日，四月二十五號
la dudek kvina de aŭgusto	八月二十五日，八月二十五號
la dudek kvina de decembro	十二月二十五日，十二月二十五號
la dudek kvina de februaro	二月二十五日，二月二十五號
la dudek kvina de januaro	一月二十五日，一月二十五號
la dudek kvina de julio	七月二十五日，七月二十五號
la dudek kvina de junio	六月二十五日，六月二十五號
la dudek kvina de majo	五月二十五日，五月二十五號
la dudek kvina de marto	三月二十五號，三月二十五日
la dudek kvina de novembro	十一月二十五號，十一月二十五日
la dudek kvina de oktobro	十月二十五日，十月二十五號
la dudek kvina de septembro	九月二十五日，九月二十五號
la dudek naŭa de aprilo	四月二十九號，四月二十九日
la dudek naŭa de aŭgusto	八月二十九號，八月二十九日
la dudek naŭa de decembro	十二月二十九號，十二月二十九日
la dudek naŭa de februaro	二月二十九日，二月二十九號
la dudek naŭa de januaro	一月二十九日，一月二十九號
la dudek naŭa de julio	七月二十九日，七月二十九號
la dudek naŭa de junio	六月二十九日，六月二十九號
la dudek naŭa de majo	五月二十九號，五月二十九日
la dudek naŭa de marto	三月二十九號，三月二十九日
la dudek naŭa de novembro	十一月二十九號，十一月二十九日
la dudek naŭa de oktobro	十月二十九日，十月二十九號
la dudek naŭa de septembro	九月二十九號，九月二十九日
la dudek oka de aprilo	四月二十八日，四月二十八號
la dudek oka de aŭgusto	八月二十八號，八月二十八日
la dudek oka de decembro	十二月二十八號，十二月二十八日
la dudek oka de februaro	二月二十八號，二月二十八日
la dudek oka de januaro	一月二十八日，一月二十八號
la dudek oka de julio	七月二十八號，七月二十八日
la dudek oka de junio	六月二十八號，六月二十八日
la dudek oka de majo	五月二十八號，五月二十八日
la dudek oka de marto	三月二十八日，三月二十八號
la dudek oka de novembro	十一月二十八日，十一月二十八號
la dudek oka de oktobro	十月二十八號，十月二十八日
la dudek oka de septembro	九月二十八號，九月二十八日
la dudek sepa de aprilo	四月二十七號，四月二十七日
la dudek sepa de aŭgusto	八月二十七號，八月二十七日
la dudek sepa de decembro	十二月二十七日，十二月二十七號
la dudek sepa de februaro	二月二十七號，二月二十七日
la dudek sepa de januaro	一月二十七號，一月二十七日
la dudek sepa de julio	七月二十七日，七月二十七號
la dudek sepa de junio	六月二十七號，六月二十七日
la dudek sepa de majo	五月二十七日，五月二十七號
la dudek sepa de marto	三月二十七號，三月二十七日
la dudek sepa de novembro	十一月二十七號，十一月二十七日
la dudek sepa de oktobro	十月二十七日，十月二十七號
la dudek sepa de septembro	九月二十七日，九月二十七號
la dudek sesa de aprilo	四月二十六號，四月二十六日
la dudek sesa de aŭgusto	八月二十六日，八月二十六號
la dudek sesa de decembro	十二月二十六日，十二月二十六號
la dudek sesa de februaro	二月二十六號，二月二十六日
la dudek sesa de januaro	一月二十六號，一月二十六日
la dudek sesa de julio	七月二十六日，七月二十六號
la dudek sesa de junio	六月二十六號，六月二十六日
la dudek sesa de majo	五月二十六號，五月二十六日
la dudek sesa de marto	三月二十六號，三月二十六日
la dudek sesa de novembro	十一月二十六日，十一月二十六號
la dudek sesa de oktobro	十月二十六號，十月二十六日
la dudek sesa de septembro	九月二十六號，九月二十六日
la dudek tria de aprilo	四月二十三日，四月二十三號
la dudek tria de aŭgusto	八月二十三日，八月二十三號
la dudek tria de decembro	十二月二十三日，十二月二十三號
la dudek tria de februaro	二月二十三號，二月二十三日
la dudek tria de januaro	一月二十三號，一月二十三日
la dudek tria de julio	七月二十三號，七月二十三日
la dudek tria de junio	六月二十三日，六月二十三號
la dudek tria de majo	五月二十三日，五月二十三號
la dudek tria de marto	三月二十三日，三月二十三號
la dudek tria de novembro	十一月二十三日，十一月二十三號
la dudek tria de oktobro	十月二十三號，十月二十三日
la dudek tria de septembro	九月二十三日，九月二十三號
la dudek unua de aprilo	四月二十一日，四月二十一號
la dudek unua de aŭgusto	八月二十一日，八月二十一號
la dudek unua de decembro	十二月二十一日，十二月二十一號
la dudek unua de februaro	二月二十一日，二月二十一號
la dudek unua de januaro	一月二十一號，一月二十一日
la dudek unua de julio	七月二十一號，七月二十一日
la dudek unua de junio	六月二十一日，六月二十一號
la dudek unua de majo	五月二十一號，五月二十一日
la dudek unua de marto	三月二十一號，三月二十一日
la dudek unua de novembro	十一月二十一號，十一月二十一日
la dudek unua de oktobro	十月二十一號，十月二十一日
la dudek unua de septembro	九月二十一號，九月二十一日
la dudeka de aprilo	四月二十號，四月二十日
la dudeka de aŭgusto	八月二十日，八月二十號
la dudeka de decembro	十二月二十號，十二月二十日
la dudeka de februaro	二月二十號，二月二十日
la dudeka de januaro	一月二十號，一月二十日
la dudeka de julio	七月二十日，七月二十號
la dudeka de junio	六月二十號，六月二十日
la dudeka de majo	五月二十號，五月二十日
la dudeka de marto	三月二十號，三月二十日
la dudeka de novembro	十一月二十號，十一月二十日
la dudeka de oktobro	十月二十號，十月二十日
la dudeka de septembro	九月二十號，九月二十日
la duoblo de	一倍
la epoko de Klerismo	啟蒙時代
la estona	愛沙尼亞語
la estona lingvo	愛沙尼亞語
la eŭska	巴斯克語
la eŭska lingvo	巴斯克語
la fandujo granda	大熔爐
la filipina	菲律賓話，菲律賓語
la filipina lingvo	菲律賓語，菲律賓話
la finna	芬蘭語
la finna lingvo	芬蘭語
la Flava Rivero	黃河，河
la franca	法文，法語
la franca lingvo	法語，法文
la gaela	蓋爾語
la gaela lingvo	蓋爾語
la gardisto	士，仕
la Ĝenerala Asembleo de UN	聯合國大會
la generalo	將，帥
la germana	德文，德語
la germana lingvo	德文，德語
la Ĝin-dinastio	金，晉
la Ĝoŭ-dinastio	周
la Granda Muro	萬里長城，長城
la greka	希臘文，希臘語，希臘話
la greka lingvo	希臘語，希臘文，希臘話
la Han-dinastio	漢
la hanĉina lingvo	漢語
la hebrea	希伯來話，希伯來語，希伯來文
la hebrea lingvo	希伯來文，希伯來語，希伯來話
la Heĝiro	回教紀元
la hindia	印地語，印度話
la hindia lingvo	印地語，印度話
la hispana	西班牙文，西班牙語
la hispana lingvo	西班牙語，西班牙文
la hungara	匈牙利語
la hungara lingvo	匈牙利語
la indonezia	印尼語，印尼文
la indonezia lingvo	印尼文，印尼語
la insulo Hajnano	海南島
la insulo Tajvano	臺灣
la Internacia Kortumo de Justeco	國際法庭，國際法院
la Interreto	網際網路
la irlanda	愛爾蘭語
la irlanda lingvo	愛爾蘭語
la Islama kalendaro	回歷
la islanda	冰島語
la islanda lingvo	冰島語
la itala	義大利語
la itala lingvo	義大利語
la Jangzio-rivero	江，長江
la japana	日本話，日語，日文
la japana lingvo	日語，日本話，日文
la jida	意第緒語
la jida lingvo	意第緒語
la Jŭan-dinastio	元
la kantona	廣東話
la kantona lingvo	廣東話，粵語，廣州話
la kimra	威爾士語
la kimra lingvo	威爾士語
la klasika ĉina	文言文
la klasika ĉina lingvo	文言文
la Komuna Erao	公元
la komuna parolo	普通話
la Komunista Partio de Ĉinio	黨，中共，中國共產黨
la Korano	古蘭經
la korea	南韓語，朝鮮文，韓語，韓文，朝語，朝鮮語，南韓話，朝鮮話
la korea lingvo	朝鮮話，韓語，朝語，南韓語，南韓話，朝鮮文，朝鮮語，韓文
la kroata	克羅埃西亞語
la kroata lingvo	克羅埃西亞語
la kvara de aprilo	四月四號，四月四日
la kvara de aŭgusto	八月四日，八月四號
la kvara de decembro	十二月四日，十二月四號
la kvara de februaro	二月四號，二月四日
la kvara de januaro	一月四號，一月四日
la kvara de julio	七月四號，七月四日
la kvara de junio	六月四日，六月四號
la kvara de majo	五月四日，五月四號
la kvara de marto	三月四號，三月四日
la kvara de novembro	十一月四日，十一月四號
la kvara de oktobro	十月四日，十月四號
la kvara de septembro	九月四日，九月四號
la kvara horo	四點，四點鐘
la kvina de aprilo	四月五日，四月五號
la kvina de aŭgusto	八月五日，八月五號
la kvina de decembro	十二月五日，十二月五號
la kvina de februaro	二月五號，二月五日
la kvina de januaro	一月五號，一月五日
la kvina de julio	七月五號，七月五日
la kvina de junio	六月五號，六月五日
la kvina de majo	五月五號，五月五日
la kvina de marto	三月五日，三月五號
la kvina de novembro	十一月五日，十一月五號
la kvina de oktobro	十月五號，十月五日
la kvina de septembro	九月五號，九月五日
la kvina horo	五點，五點鐘
la laosa	寮國語，寮語
la laosa lingvo	寮語，寮國語
la latina lingvo	拉丁文
la latva	拉脫維亞語
la latva lingvo	拉脫維亞語
la litova	立陶宛語
la litova lingvo	立陶宛語
la Ljaŭ-dinastio	遼
la makedona	馬其頓語
la makedona lingvo	馬其頓語
la malagasa	馬達加斯加語
la malagasa lingvo	馬達加斯加語
la malaja	馬來文，馬來語
la malaja lingvo	馬來語，馬來文
la Malvarma milito	冷戰
la maoria	毛利語
la maoria lingvo	毛利語
la Meza Regno	中國
La Mezepoko	中世紀
la mia	我的
la Ming-dinastio	明
la mongola	蒙古話，蒙古語，蒙古文
la mongola lingvo	蒙古語，蒙古文，蒙古話
la nacia lingvo	國語
la nagaria skribo	天城文
la naŭa de aprilo	四月九日，四月九號
la naŭa de aŭgusto	八月九日，八月九號
la naŭa de decembro	十二月九號，十二月九日
la naŭa de februaro	二月九號，二月九日
la naŭa de januaro	一月九日，一月九號
la naŭa de julio	七月九日，七月九號
la naŭa de junio	六月九日，六月九號
la naŭa de majo	五月九號，五月九日
la naŭa de marto	三月九號，三月九日
la naŭa de novembro	十一月九號，十一月九日
la naŭa de oktobro	十月九號，十月九日
la naŭa de septembro	九月九日，九月九號
la naŭa horo	九點，九點鐘
la nederlanda	荷蘭文，荷蘭語
la nederlanda lingvo	荷蘭語，荷蘭文
la nepala	尼泊爾語
la nepala lingvo	尼泊爾語
la nia	我們的
la Nobelpremio	諾貝爾獎
la Nobelpremio por literaturo	諾貝爾文學獎
la norvega	挪威語
la norvega lingvo	挪威語
la oficista lingvo	官話
la oka de aprilo	四月八日，四月八號
la oka de aŭgusto	八月八日，八月八號
la oka de decembro	十二月八號，十二月八日
la oka de februaro	二月八號，二月八日
la oka de januaro	一月八號，一月八日
la oka de julio	七月八號，七月八日
la oka de junio	六月八日，六月八號
la oka de majo	五月八號，五月八日
la oka de marto	三月八日，三月八號
la oka de novembro	十一月八號，十一月八日
la oka de oktobro	十月八日，十月八號
la oka de septembro	九月八日，九月八號
la oka horo	八點，八點鐘
la olimpia flago	奧運會會旗
la Olimpiaj ludoj	奧林匹克運動會，奧運會，奧運
la Pakto Ribbentrop-Molotov	蘇德互不侵犯條約
la palia lingvo	巴利語
la pekina parolo	北京話
la perioda tabelo de la elementoj	元素周期表
la persa	波斯文，波斯語
la persa lingvo	波斯語，波斯文
la plejparto	大部分，大多數
la plejparto de	大部分的，一般的
la pola	波蘭語
la pola lingvo	波蘭語
la portugala	葡萄牙語，葡萄牙文
la portugala lingvo	葡萄牙文，葡萄牙語
la printempa ekvinokso	春分
la Renesanco	文藝復興
la Respubliko de Ĉinio	中華民國
la Reto	網際網路
la romano "Pilgrimo al la Okcidento"	西游記
la rumana	羅馬尼亞語
la rumana lingvo	羅馬尼亞語
la rusa	俄語，俄羅斯語，俄文
la rusa lingvo	俄語，俄羅斯語，俄文
la Ŝang-dinastio	商
la sanskrita lingvo	梵語，梵文
la Sekureca Konsilio de UN	聯合國安全理事會，聯合國安理會，安理會
la sepa de aprilo	四月七日，四月七號
la sepa de aŭgusto	八月七日，八月七號
la sepa de decembro	十二月七日，十二月七號
la sepa de februaro	二月七號，二月七日
la sepa de januaro	一月七日，一月七號
la sepa de julio	七月七號，七月七日
la sepa de junio	六月七號，六月七日
la sepa de majo	五月七號，五月七日
la sepa de marto	三月七日，三月七號
la sepa de novembro	十一月七號，十一月七日
la sepa de oktobro	十月七日，十月七號
la sepa de septembro	九月七號，九月七日
la sepa horo	七點鐘，七點
la serba	塞爾維亞語
la serba lingvo	塞爾維亞語
la sesa de aprilo	四月六日，四月六號
la sesa de aŭgusto	八月六日，八月六號
la sesa de decembro	十二月六號，十二月六日
la sesa de februaro	二月六號，二月六日
la sesa de januaro	一月六號，一月六日
la sesa de julio	七月六日，七月六號
la sesa de junio	六月六日，六月六號
la sesa de majo	五月六日，五月六號
la sesa de marto	三月六號，三月六日
la sesa de novembro	十一月六號，十一月六日
la sesa de oktobro	十月六日，十月六號
la sesa de septembro	九月六號，九月六日
la sesa horo	六點，六點鐘
la Sinhaja revolucio	辛亥革命
la Ŝja-dinastio	夏
la slovaka	斯洛伐克語
la slovaka lingvo	斯洛伐克語
la Somera Palaco	頤和園
la Song-dinastio	宋
la Ŝu-Reĝlando	蜀
la Suej-dinastio	隋
la sumera solstico	夏至
la svahila	斯瓦希里語
la svahila lingvo	斯瓦希里語
la sveda	瑞典語
la sveda lingvo	瑞典語
la taja	泰國語，泰文，泰語
la taja lingvo	泰國語，泰文，泰語
la tamila	泰米爾語
la tamila lingvo	泰米爾語
la Tang-dinastio	唐
la Terakota Legio de Qin-dinastio	兵馬俑
la tibeta	藏語，藏文
la tibeta lingvo	藏語，藏文
la Titanoj	提坦巨神，泰坦
la Tri Gorĝoj	三峽
la Tri Gorĝoj de Jangzio-Rivero	三峽
la tria de aprilo	四月三日，四月三號
la tria de aŭgusto	八月三日，八月三號
la tria de decembro	十二月三日，十二月三號
la tria de februaro	二月三號，二月三日
la tria de januaro	一月三號，一月三日
la tria de julio	七月三日，七月三號
la tria de junio	六月三日，六月三號
la tria de majo	五月三號，五月三日
la tria de marto	三月三號，三月三日
la tria de novembro	十一月三日，十一月三號
la tria de oktobro	十月三號，十月三日
la tria de septembro	九月三日，九月三號
la tria horo	三點鐘，三點
la tridek unua de aŭgusto	八月三十一號，八月三十一日
la tridek unua de decembro	十二月三十一日，十二月三十一號
la tridek unua de januaro	一月三十一日，一月三十一號
la tridek unua de julio	七月三十一日，七月三十一號
la tridek unua de majo	五月三十一日，五月三十一號
la tridek unua de marto	三月三十一日，三月三十一號
la tridek unua de oktobro	十月三十一號，十月三十一日
la trideka de aprilo	四月三十日，四月三十號
la trideka de aŭgusto	八月三十日，八月三十號
la trideka de decembro	十二月三十日，十二月三十號
la trideka de januaro	一月三十日，一月三十號
la trideka de julio	七月三十號，七月三十日
la trideka de junio	六月三十號，六月三十日
la trideka de majo	五月三十日，五月三十號
la trideka de marto	三月三十號，三月三十日
la trideka de novembro	十一月三十號，十一月三十日
la trideka de oktobro	十月三十日，十月三十號
la trideka de septembro	九月三十日，九月三十號
la turka	土耳其文，土耳其語
la turka lingvo	土耳其語，土耳其文
la tuta	整個，整
la Ŭej-Reĝlando	魏
la ukraina	烏克蘭語
la ukraina lingvo	烏克蘭語
la Universala Deklaracio de Homaj Rajtoj	世界人權宣言
la unua de aprilo	四月一日，四月一號
la unua de aŭgusto	八月一號，八月一日
la unua de decembro	十二月一日，十二月一號
la unua de februaro	二月一日，二月一號
la unua de januaro	一月一號，一月一日
la unua de julio	七月一日，七月一號
la unua de junio	六月一號，六月一日
la unua de majo	五月一日，五月一號
la unua de marto	三月一號，三月一日
la unua de novembro	十一月一號，十一月一日
la unua de oktobro	十月一號，十月一日
la unua de septembro	九月一日，九月一號
la unua horo	一點，一點鐘
La Unua Imperiestro de la Dinastio Qin	秦始皇
la unua mondmilito	第一次大戰，第一次世界大戰，一戰
la urdua lingvo	烏爾都語
la Ŭu-Reĝlando	吳
La Verdaj	歐洲綠黨
la via	你們的，你的
la vintra solstico	冬至
la vjetnama	越南語，越南話，越南文
la vjetnama lingvo	越南文，越南語，越南話
la zulua	祖魯語
la zulua lingvo	祖魯語
laboranto	工人
laboratorio	實驗室
laborejo	工作場所
labori	打工，工作
laboro	工，工作，勞動
laburnfloro	金鏈花
laburno	金鏈花
laca	累
lacerto	蜥，蜴，蜥蜴
ladskatolo	罐頭
lageto	水池，池塘
Lakta vojo	銀河系
laktodento	乳齒
laminario	藻，海藻
lampo	電燈，燈
lanco	長槍
landlimo	邊境
lando	國家，國
lango	舌，舌頭
Lanĝoŭo	蘭州
lano	羊毛
lantano	鑭 
lapo	牛蒡子，牛蒡，大力子，蒡
larĝa	廣，寬
larikarbo	落葉松，落葉松樹
lariko	落葉松，落葉松樹
laringo	喉頭，喉
larmi	流眼淚，流淚
larmo	淚，眼淚，淚水
Lasao	拉薩
lasera presilo	激光印表機
lasero	激光
lasi	讓
lastatempe	近來，最近
Latino	拉丁文
laŭ	照，據，按照，按
laŭ mia scio	據我所知
laŭdi	贊美
laŭdire	所謂
laŭleĝa	合法
laŭrarbo	月桂樹
laŭrencio	鐒
laŭro	月桂樹
laŭtparolilo	喇叭
laŭvorta	字面
lavejo	洗手間
lavendfloro	薰衣草
lavendo	薰衣草
leciono	課
ledo	皮，皮革，革
leganto	讀者
legendo	傳奇
legi	讀，看書，讀書
leĝo	法律，法
lekantfloro	雛菊，雛菊花
lekanto	雛菊，雛菊花
lemno	萍，浮萍
leonfaŭkfloro	龍嘴花
leonfaŭko	龍嘴花，金魚草
leono	獅子，獅
leontodfloro	蒲公英花，蒲公英
leontodo	蒲公英花，蒲公英
leopardo	花豹
lernantaro	班
lernanto	學生
lernejestro	校長
lernejo	學校
lerni	學習
lernolibro	課本
lerta	聰明
lerteco	技巧
leterkesto	信箱
letero	信
leterportisto	郵差
leviĝi	起來，上升
li	他
li mem	他自己
lia	他的
lia propra	他自己的
libelo	螞螂，蜓，蜻蜓，螞，蜻
libera	有空
Libera Eŭropa Alianco	歐洲自由陣線聯盟
liberala	開放
libereco	自由
liberigi	釋放
libro	書，書本，一本書
librovendejo	書店
liĉiarbo	荔，荔枝樹
lieno	脾臟，脾
lifto	電梯
ligamento	韌帶
lignero	碎片，木刺
ligno	木材，木頭
lignokarbo	木炭
Lignostelo	木星
Ligo de Arabaj Ŝtatoj	阿拉伯聯盟，阿拉伯國家聯盟，阿盟
Ligo de Nacioj	國際聯盟，國聯
likeno	地衣
likvaĵo	液體
likvigi	液化
likvo	液體
lilifloro	百合，百合花
lilio	百合，百合花
limako	鼻涕蟲
limearbo	萊姆樹
limfa glando	淋巴腺
limfo	淋巴
limfonodo	淋巴結
limigi	限制
limigita	有限
lin	他
lingvistiko	語言學
lingvo	語言，文，語
linko	猞，猁，猞猁
lino	亞麻
lipharo	鬍子
lipo	嘴唇
listigi	列出
listo	名單
listo de kantoj	曲目
lita superkovrilo	被單，床罩
litaĵo	被褥，鋪蓋
lite	在床上
literaturo	文學
litero	字母
literumi	拼字
litio	鋰
litkadro	床架
litkovrilo	被子，毛毯
litkuseno	枕頭
litmalsana	臥床不起
lito	床，床鋪
littuko	床單
litvagono	臥鋪車，臥車
livio	鴿，鴿子
Ljaŭ-dinastio	遼
Ljaŭningo	遼，遼寧
loĝantaro	人口
loĝanto	居民
loĝejo	住宅
loĝi	居住
loĝi ĉe 	住在
logiko	邏輯
lokativa kazo	地格
lokativo	地格
loko	地方，場所
lokusto	蜢，蚱，蚱蜢
loligo	烏賊
longa	長
longa fingro	中指
longatempe	久，好久，很久，久久
longdaŭra	長期
longdistanca	長途
longeco	長度，長短
longtempa	長期
longtempe	久，好久，很久，久久
lonicero	忍冬
loterio	彩券
lotusfloro	荷花，芙蓉，芙蓉花，蓉，芙，蓮，荷，蓮花
lotuso	芙，荷花，荷，蓮花，芙蓉花，蓉，蓮，芙蓉
luanto	房客
ludi	玩，扮演，玩游戲
ludi tabulludon	對弈
ludilo	玩具
ludo	游戲
luebla	出租
lui	租用
lui de	租用
luigi	租出
lukontrakto	租約
lukti	掙扎
luktosporto	武術
lulilo	搖籃
lulkanto	搖籃曲
lum-ampolo	電燈泡
luma	明亮
lumdisko	光碟，光碟
lumjaro	光年
lumo	光
lumrapido	光速
lumturo	燈塔
lundo	一，禮拜一，星期一，周一
luno	月亮，月
Luno	月球
lupago	租金
lupo	狼
lutecio	鑥，鎦
lutro	獺，水獺
luzerno	紫花苜蓿，紫苜蓿
magazeno	百貨公司
magio	魔法
magneta disko	磁碟
magneta kampo	磁場
magneto	磁鐵
magnetofono	錄音機
magnetoskopo	錄影機
magnezio	鎂
magnolifloro	玉蘭，玉蘭花
magnolio	玉蘭花，玉蘭
mahagono	桃花心木
maizo	玉米
majo	五月
Makao	澳，澳門
makropo	袋鼠
makzelo	顎，頜
malakra	遲鈍
malalta	矮小，低
malaltmaro	低潮
malalttajdo	低潮
malami	仇恨，憎恨，討厭
malamika	敵對的，敵意的
malamikeco	敵意
malamiko	仇人，敵人
malaminda	惡意的，惡毒的
malamo	仇恨，憎恨，怨恨
malantaŭ	後，以後，之後，後面
malantaŭe	在後面，往後
malantaŭplano	背景
malaperi	不見，不見了
malaperis	不見了
malavara	慷慨
malbela	醜陋，醜
malbona	壞，孬
malbona humoro	孬脾氣
malbona kutimo	壞習慣
malbonega	邪惡
malbono	邪惡
malbonŝanco	孬運
malbonulo	壞人
malbonvola	勉強
maldika	薄，細
maldika intesto	小腸
maldorma	醒，清醒
maldormi	醒著
maldungi	炒魷魚，解雇
maldungita	失業
male	反而
malebligi	阻止，妨礙
malebria	清醒，醒
malebriiĝi	醒
malekvilibro	失衡
maleolo	踝，腳脖子，腳踝
malespera	絕望
malfacila	困難，難
malfeliĉa	傷心
malfeliĉego	災難
malfermi	張開，開，打開
malfermi la pordon	開門
malfluido	固體
malfluso	退潮
malforta	弱，軟弱
malfrua	晚，遲
malfruiĝi	來晚，遲到
malfruigi	誤，耽擱
malfruiĝis	來晚了
malgaja	傷心，難過
malĝentila	不客氣
malglata	粗糙
malĝoja	傷心
malgranda	小
malgranda fingro	小指
malgranda grupo	小組
malgrasa	瘦
malgraŭ	儘管，即使
malgraŭ tio	儘管如此，無論如何，不管怎樣
malĝusta	不對，錯
malhavi	缺少
malhelpi	幫倒忙
malica	邪惡
malico	邪惡
maljuna	老
maljusta	不公平
malklara	模糊
malkovri	發現
mallaborema	懶惰
mallarĝa	狹窄，窄
mallerta	笨拙
malleviĝi	下降
malliberejo	牢獄，監獄，獄，牢，監牢
mallonga	短
